info  14:32:33.091777 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_game]
info  14:32:33.107612 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_nmmember]
info  14:32:33.108673 redis.go:24: [连接Redis localhost:11100]
info  14:32:33.110608 redis.go:24: [连接Redis localhost:11400]
info  14:32:33.112105 engine.go:16: [启动引擎]
debug 14:32:33.116084 user_hd_hint.go:143: ---------牌类型:火箭
debug 14:32:33.116140 user_hd_hint.go:143: ---------牌类型:炸弹
debug 14:32:33.116178 user_hd_hint.go:143: ---------牌类型:单
debug 14:32:33.116209 user_hd_hint.go:143: ---------牌类型:对
debug 14:32:33.116243 user_hd_hint.go:143: ---------牌类型:三
debug 14:32:33.116274 user_hd_hint.go:143: ---------牌类型:三带一
debug 14:32:33.116308 user_hd_hint.go:143: ---------牌类型:三带二
debug 14:32:33.116354 user_hd_hint.go:143: ---------牌类型:顺子
debug 14:32:33.116405 user_hd_hint.go:143: ---------牌类型:连对
debug 14:32:33.116472 user_hd_hint.go:143: ---------牌类型:飞机
debug 14:32:33.116528 user_hd_hint.go:143: ---------牌类型:四带二
