info  14:33:39.468775 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_game]
info  14:33:39.485098 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_nmmember]
info  14:33:39.487121 redis.go:24: [连接Redis localhost:11100]
info  14:33:39.498871 redis.go:24: [连接Redis localhost:11400]
info  14:33:39.499990 engine.go:16: [启动引擎]
debug 14:33:39.503464 user_hd_hint.go:143: ---------牌类型:火箭
debug 14:33:39.503550 user_hd_hint.go:143: ---------牌类型:炸弹
debug 14:33:39.503604 user_hd_hint.go:143: ---------牌类型:单
debug 14:33:39.503707 user_hd_hint.go:143: ---------牌类型:对
debug 14:33:39.503780 user_hd_hint.go:143: ---------牌类型:三
debug 14:33:39.503819 user_hd_hint.go:143: ---------牌类型:三带一
debug 14:33:39.503855 user_hd_hint.go:143: ---------牌类型:三带二
debug 14:33:39.503894 user_hd_hint.go:143: ---------牌类型:顺子
debug 14:33:39.503937 user_hd_hint.go:143: ---------牌类型:连对
debug 14:33:39.503995 user_hd_hint.go:143: ---------牌类型:飞机
debug 14:33:39.504046 user_hd_hint.go:143: ---------牌类型:四带二
