info  14:43:23.520801 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_game]
info  14:43:23.540490 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_nmmember]
info  14:43:23.541747 redis.go:24: [连接Redis localhost:11100]
info  14:43:23.543798 redis.go:24: [连接Redis localhost:11400]
info  14:43:23.545323 engine.go:16: [启动引擎]
debug 14:43:23.549373 user_hd_hint.go:143: ---------牌类型:火箭
debug 14:43:23.549430 user_hd_hint.go:143: ---------牌类型:炸弹
debug 14:43:23.549464 user_hd_hint.go:143: ---------牌类型:单
debug 14:43:23.549496 user_hd_hint.go:143: ---------牌类型:对
debug 14:43:23.549527 user_hd_hint.go:143: ---------牌类型:三
debug 14:43:23.549591 user_hd_hint.go:143: ---------牌类型:三带一
debug 14:43:23.549646 user_hd_hint.go:143: ---------牌类型:三带二
debug 14:43:23.549683 user_hd_hint.go:143: ---------牌类型:顺子
debug 14:43:23.549726 user_hd_hint.go:143: ---------牌类型:连对
debug 14:43:23.549790 user_hd_hint.go:143: ---------牌类型:飞机
debug 14:43:23.549870 user_hd_hint.go:143: ---------牌类型:四带二
