info  15:09:28.105355 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_game]
info  15:09:28.119910 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_nmmember]
info  15:09:28.120550 redis.go:24: [连接Redis localhost:11100]
info  15:09:28.122011 redis.go:24: [连接Redis localhost:11400]
info  15:09:28.123898 engine.go:16: [启动引擎]
debug 15:09:28.127740 user_hd_hint.go:143: ---------牌类型:火箭
debug 15:09:28.127822 user_hd_hint.go:143: ---------牌类型:炸弹
debug 15:09:28.127901 user_hd_hint.go:143: ---------牌类型:单
debug 15:09:28.127942 user_hd_hint.go:143: ---------牌类型:对
debug 15:09:28.128003 user_hd_hint.go:143: ---------牌类型:三
debug 15:09:28.128035 user_hd_hint.go:143: ---------牌类型:三带一
debug 15:09:28.128092 user_hd_hint.go:143: ---------牌类型:三带二
debug 15:09:28.128150 user_hd_hint.go:143: ---------牌类型:顺子
debug 15:09:28.128208 user_hd_hint.go:143: ---------牌类型:连对
debug 15:09:28.128257 user_hd_hint.go:143: ---------牌类型:飞机
debug 15:09:28.128304 user_hd_hint.go:143: ---------牌类型:四带二
