info  15:22:04.648697 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_game]
info  15:22:04.664972 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_nmmember]
info  15:22:04.666001 redis.go:24: [连接Redis localhost:11100]
info  15:22:04.669808 redis.go:24: [连接Redis localhost:11400]
info  15:22:04.673417 engine.go:16: [启动引擎]
debug 15:22:04.678000 user_hd_hint.go:143: ---------牌类型:火箭
debug 15:22:04.678068 user_hd_hint.go:143: ---------牌类型:炸弹
debug 15:22:04.678165 user_hd_hint.go:143: ---------牌类型:单
debug 15:22:04.678233 user_hd_hint.go:143: ---------牌类型:对
debug 15:22:04.678330 user_hd_hint.go:143: ---------牌类型:三
debug 15:22:04.678382 user_hd_hint.go:143: ---------牌类型:三带一
debug 15:22:04.678421 user_hd_hint.go:143: ---------牌类型:三带二
debug 15:22:04.678468 user_hd_hint.go:143: ---------牌类型:顺子
debug 15:22:04.678513 user_hd_hint.go:143: ---------牌类型:连对
debug 15:22:04.678563 user_hd_hint.go:143: ---------牌类型:飞机
debug 15:22:04.678631 user_hd_hint.go:143: ---------牌类型:四带二
