info  15:13:15.213842 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_game]
info  15:13:15.230697 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_nmmember]
info  15:13:15.232461 redis.go:24: [连接Redis localhost:11100]
info  15:13:15.234487 redis.go:24: [连接Redis localhost:11400]
info  15:13:15.236041 engine.go:16: [启动引擎]
debug 15:13:15.239804 user_hd_hint.go:143: ---------牌类型:火箭
debug 15:13:15.239857 user_hd_hint.go:143: ---------牌类型:炸弹
debug 15:13:15.239909 user_hd_hint.go:143: ---------牌类型:单
debug 15:13:15.239941 user_hd_hint.go:143: ---------牌类型:对
debug 15:13:15.240003 user_hd_hint.go:143: ---------牌类型:三
debug 15:13:15.240061 user_hd_hint.go:143: ---------牌类型:三带一
debug 15:13:15.240097 user_hd_hint.go:143: ---------牌类型:三带二
debug 15:13:15.240132 user_hd_hint.go:143: ---------牌类型:顺子
debug 15:13:15.240173 user_hd_hint.go:143: ---------牌类型:连对
debug 15:13:15.240213 user_hd_hint.go:143: ---------牌类型:飞机
debug 15:13:15.240261 user_hd_hint.go:143: ---------牌类型:四带二
