info  14:47:38.872107 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_game]
info  14:47:38.884610 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_nmmember]
info  14:47:38.885395 redis.go:24: [连接Redis localhost:11100]
info  14:47:38.887029 redis.go:24: [连接Redis localhost:11400]
info  14:47:38.888423 engine.go:16: [启动引擎]
debug 14:47:38.891782 user_hd_hint.go:143: ---------牌类型:火箭
debug 14:47:38.891827 user_hd_hint.go:143: ---------牌类型:炸弹
debug 14:47:38.891870 user_hd_hint.go:143: ---------牌类型:单
debug 14:47:38.891900 user_hd_hint.go:143: ---------牌类型:对
debug 14:47:38.891934 user_hd_hint.go:143: ---------牌类型:三
debug 14:47:38.891961 user_hd_hint.go:143: ---------牌类型:三带一
debug 14:47:38.891988 user_hd_hint.go:143: ---------牌类型:三带二
debug 14:47:38.892018 user_hd_hint.go:143: ---------牌类型:顺子
debug 14:47:38.892054 user_hd_hint.go:143: ---------牌类型:连对
debug 14:47:38.892094 user_hd_hint.go:143: ---------牌类型:飞机
debug 14:47:38.892130 user_hd_hint.go:143: ---------牌类型:四带二
