info  13:46:26.692118 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_game]
info  13:46:26.708507 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_nmmember]
info  13:46:26.709458 redis.go:24: [连接Redis localhost:11100]
info  13:46:26.711583 redis.go:24: [连接Redis localhost:11400]
info  13:46:26.713102 engine.go:16: [启动引擎]
debug 13:46:26.717643 user_hd_hint.go:143: ---------牌类型:火箭
debug 13:46:26.717700 user_hd_hint.go:143: ---------牌类型:炸弹
debug 13:46:26.717733 user_hd_hint.go:143: ---------牌类型:单
debug 13:46:26.717770 user_hd_hint.go:143: ---------牌类型:对
debug 13:46:26.717807 user_hd_hint.go:143: ---------牌类型:三
debug 13:46:26.717838 user_hd_hint.go:143: ---------牌类型:三带一
debug 13:46:26.717872 user_hd_hint.go:143: ---------牌类型:三带二
debug 13:46:26.717906 user_hd_hint.go:143: ---------牌类型:顺子
debug 13:46:26.717945 user_hd_hint.go:143: ---------牌类型:连对
debug 13:46:26.718047 user_hd_hint.go:143: ---------牌类型:飞机
debug 13:46:26.718102 user_hd_hint.go:143: ---------牌类型:四带二
