info  15:27:14.335218 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_game]
info  15:27:14.353442 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_nmmember]
info  15:27:14.354990 redis.go:24: [连接Redis localhost:11100]
info  15:27:14.357136 redis.go:24: [连接Redis localhost:11400]
info  15:27:14.358818 engine.go:16: [启动引擎]
debug 15:27:14.362529 user_hd_hint.go:143: ---------牌类型:火箭
debug 15:27:14.377352 user_hd_hint.go:143: ---------牌类型:炸弹
debug 15:27:14.377415 user_hd_hint.go:143: ---------牌类型:单
debug 15:27:14.377459 user_hd_hint.go:143: ---------牌类型:对
debug 15:27:14.377511 user_hd_hint.go:143: ---------牌类型:三
debug 15:27:14.377552 user_hd_hint.go:143: ---------牌类型:三带一
debug 15:27:14.377637 user_hd_hint.go:143: ---------牌类型:三带二
debug 15:27:14.377702 user_hd_hint.go:143: ---------牌类型:顺子
debug 15:27:14.377768 user_hd_hint.go:143: ---------牌类型:连对
debug 15:27:14.377865 user_hd_hint.go:143: ---------牌类型:飞机
debug 15:27:14.377963 user_hd_hint.go:143: ---------牌类型:四带二
