info  14:34:53.526798 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_game]
info  14:34:53.540280 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_nmmember]
info  14:34:53.541340 redis.go:24: [连接Redis localhost:11100]
info  14:34:53.543065 redis.go:24: [连接Redis localhost:11400]
info  14:34:53.544280 engine.go:16: [启动引擎]
debug 14:34:53.547259 user_hd_hint.go:143: ---------牌类型:火箭
debug 14:34:53.547306 user_hd_hint.go:143: ---------牌类型:炸弹
debug 14:34:53.547337 user_hd_hint.go:143: ---------牌类型:单
debug 14:34:53.547367 user_hd_hint.go:143: ---------牌类型:对
debug 14:34:53.547399 user_hd_hint.go:143: ---------牌类型:三
debug 14:34:53.547428 user_hd_hint.go:143: ---------牌类型:三带一
debug 14:34:53.547458 user_hd_hint.go:143: ---------牌类型:三带二
debug 14:34:53.547492 user_hd_hint.go:143: ---------牌类型:顺子
debug 14:34:53.547534 user_hd_hint.go:143: ---------牌类型:连对
debug 14:34:53.547587 user_hd_hint.go:143: ---------牌类型:飞机
debug 14:34:53.547627 user_hd_hint.go:143: ---------牌类型:四带二
