info  15:10:17.505134 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_game]
info  15:10:17.522604 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_nmmember]
info  15:10:17.524069 redis.go:24: [连接Redis localhost:11100]
info  15:10:17.525959 redis.go:24: [连接Redis localhost:11400]
info  15:10:17.527320 engine.go:16: [启动引擎]
debug 15:10:17.530970 user_hd_hint.go:143: ---------牌类型:火箭
debug 15:10:17.531052 user_hd_hint.go:143: ---------牌类型:炸弹
debug 15:10:17.531106 user_hd_hint.go:143: ---------牌类型:单
debug 15:10:17.531138 user_hd_hint.go:143: ---------牌类型:对
debug 15:10:17.531165 user_hd_hint.go:143: ---------牌类型:三
debug 15:10:17.531194 user_hd_hint.go:143: ---------牌类型:三带一
debug 15:10:17.531228 user_hd_hint.go:143: ---------牌类型:三带二
debug 15:10:17.531262 user_hd_hint.go:143: ---------牌类型:顺子
debug 15:10:17.531305 user_hd_hint.go:143: ---------牌类型:连对
debug 15:10:17.531345 user_hd_hint.go:143: ---------牌类型:飞机
debug 15:10:17.531404 user_hd_hint.go:143: ---------牌类型:四带二
