info  14:35:07.821615 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_game]
info  14:35:07.835140 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_nmmember]
info  14:35:07.836374 redis.go:24: [连接Redis localhost:11100]
info  14:35:07.838044 redis.go:24: [连接Redis localhost:11400]
info  14:35:07.839450 engine.go:16: [启动引擎]
debug 14:35:07.843451 user_hd_hint.go:143: ---------牌类型:火箭
debug 14:35:07.843508 user_hd_hint.go:143: ---------牌类型:炸弹
debug 14:35:07.843539 user_hd_hint.go:143: ---------牌类型:单
debug 14:35:07.843570 user_hd_hint.go:143: ---------牌类型:对
debug 14:35:07.843625 user_hd_hint.go:143: ---------牌类型:三
debug 14:35:07.843674 user_hd_hint.go:143: ---------牌类型:三带一
debug 14:35:07.843710 user_hd_hint.go:143: ---------牌类型:三带二
debug 14:35:07.843748 user_hd_hint.go:143: ---------牌类型:顺子
debug 14:35:07.843788 user_hd_hint.go:143: ---------牌类型:连对
debug 14:35:07.843832 user_hd_hint.go:143: ---------牌类型:飞机
debug 14:35:07.843888 user_hd_hint.go:143: ---------牌类型:四带二
