info  14:29:49.795279 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_game]
info  14:29:49.808525 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_nmmember]
info  14:29:49.809434 redis.go:24: [连接Redis localhost:11100]
info  14:29:49.812062 redis.go:24: [连接Redis localhost:11400]
info  14:29:49.813944 engine.go:16: [启动引擎]
debug 14:29:49.818469 user_hd_hint.go:143: ---------牌类型:火箭
debug 14:29:49.818533 user_hd_hint.go:143: ---------牌类型:炸弹
debug 14:29:49.818571 user_hd_hint.go:143: ---------牌类型:单
debug 14:29:49.818601 user_hd_hint.go:143: ---------牌类型:对
debug 14:29:49.818635 user_hd_hint.go:143: ---------牌类型:三
debug 14:29:49.818665 user_hd_hint.go:143: ---------牌类型:三带一
debug 14:29:49.818704 user_hd_hint.go:143: ---------牌类型:三带二
debug 14:29:49.818747 user_hd_hint.go:143: ---------牌类型:顺子
debug 14:29:49.818824 user_hd_hint.go:143: ---------牌类型:连对
debug 14:29:49.818883 user_hd_hint.go:143: ---------牌类型:飞机
debug 14:29:49.818934 user_hd_hint.go:143: ---------牌类型:四带二
