info  15:32:39.883356 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_game]
info  15:32:39.900726 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_nmmember]
info  15:32:39.902551 redis.go:24: [连接Redis localhost:11100]
info  15:32:39.905451 redis.go:24: [连接Redis localhost:11400]
info  15:32:39.907102 engine.go:16: [启动引擎]
debug 15:32:39.911114 user_hd_hint.go:143: ---------牌类型:火箭
debug 15:32:39.911164 user_hd_hint.go:143: ---------牌类型:炸弹
debug 15:32:39.911206 user_hd_hint.go:143: ---------牌类型:单
debug 15:32:39.911236 user_hd_hint.go:143: ---------牌类型:对
debug 15:32:39.911262 user_hd_hint.go:143: ---------牌类型:三
debug 15:32:39.911316 user_hd_hint.go:143: ---------牌类型:三带一
debug 15:32:39.911352 user_hd_hint.go:143: ---------牌类型:三带二
debug 15:32:39.911394 user_hd_hint.go:143: ---------牌类型:顺子
debug 15:32:39.911446 user_hd_hint.go:143: ---------牌类型:连对
debug 15:32:39.911500 user_hd_hint.go:143: ---------牌类型:飞机
debug 15:32:39.911573 user_hd_hint.go:143: ---------牌类型:四带二
