info  14:31:03.100792 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_game]
info  14:31:03.119304 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_nmmember]
info  14:31:03.120213 redis.go:24: [连接Redis localhost:11100]
info  14:31:03.122148 redis.go:24: [连接Redis localhost:11400]
info  14:31:03.123749 engine.go:16: [启动引擎]
debug 14:31:03.127511 user_hd_hint.go:143: ---------牌类型:火箭
debug 14:31:03.127558 user_hd_hint.go:143: ---------牌类型:炸弹
debug 14:31:03.127605 user_hd_hint.go:143: ---------牌类型:单
debug 14:31:03.127642 user_hd_hint.go:143: ---------牌类型:对
debug 14:31:03.127676 user_hd_hint.go:143: ---------牌类型:三
debug 14:31:03.127704 user_hd_hint.go:143: ---------牌类型:三带一
debug 14:31:03.127735 user_hd_hint.go:143: ---------牌类型:三带二
debug 14:31:03.127766 user_hd_hint.go:143: ---------牌类型:顺子
debug 14:31:03.127804 user_hd_hint.go:143: ---------牌类型:连对
debug 14:31:03.127862 user_hd_hint.go:143: ---------牌类型:飞机
debug 14:31:03.127901 user_hd_hint.go:143: ---------牌类型:四带二
