info  14:42:56.583077 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_game]
info  14:42:56.598912 sql.go:24: [连接Sql 127.0.0.1:3306 doudizhu_nmmember]
info  14:42:56.600119 redis.go:24: [连接Redis localhost:11100]
info  14:42:56.602221 redis.go:24: [连接Redis localhost:11400]
info  14:42:56.603584 engine.go:16: [启动引擎]
debug 14:42:56.607430 user_hd_hint.go:143: ---------牌类型:火箭
debug 14:42:56.607495 user_hd_hint.go:143: ---------牌类型:炸弹
debug 14:42:56.607563 user_hd_hint.go:143: ---------牌类型:单
debug 14:42:56.607604 user_hd_hint.go:143: ---------牌类型:对
debug 14:42:56.607665 user_hd_hint.go:143: ---------牌类型:三
debug 14:42:56.607720 user_hd_hint.go:143: ---------牌类型:三带一
debug 14:42:56.607781 user_hd_hint.go:143: ---------牌类型:三带二
debug 14:42:56.607865 user_hd_hint.go:143: ---------牌类型:顺子
debug 14:42:56.607986 user_hd_hint.go:143: ---------牌类型:连对
debug 14:42:56.608059 user_hd_hint.go:143: ---------牌类型:飞机
debug 14:42:56.608124 user_hd_hint.go:143: ---------牌类型:四带二
